TC_ID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P
23,91650276.000000000000000,12640305.500000000000000,54977596.500000000000000,551701.250000000000000,402416.500000000000000,5722093.750000000000000,8565802.000000000000000,8790360.500000000000000,68572019.750000000000000,23078256.250000000000000,13.791890272103490,59.986285802347169,0.601963544550591,0.439078328580265,6.243400456317230,9.346182438119445,9.591199157981805,74.819217947581521,25.180782052418476
24,11019850.000000000000000,3145763.250000000000000,4012695.750000000000000,0.000000000000000,717.250000000000000,1368448.250000000000000,1280804.000000000000000,1211421.500000000000000,7159176.250000000000000,3860673.750000000000000,28.546334568982335,36.413342740599916,0.000000000000000,0.006508709283702,12.418029737246878,11.622699038553156,10.993085205334010,64.966186018865955,35.033813981134045
25,16231388.500000000000000,4856722.750000000000000,4952733.750000000000000,76.500000000000000,39909.250000000000000,2263829.250000000000000,1798062.750000000000000,2320054.250000000000000,9849442.250000000000000,6381946.250000000000000,29.921794737400315,30.513309135567791,0.000471309031880,0.245876993209792,13.947231008610261,11.077689071393984,14.293627744785976,60.681452175209785,39.318547824790222
26,10768712.250000000000000,3172651.500000000000000,3538288.500000000000000,222.750000000000000,5343.000000000000000,1575936.750000000000000,957281.250000000000000,1518988.500000000000000,6716505.750000000000000,4052206.500000000000000,29.461753887982290,32.857118082990844,0.002068492451361,0.049615960348462,14.634403013229367,8.889468190590755,14.105572372406924,62.370556423772946,37.629443576227047
27,64259898.000000000000000,21645133.250000000000000,21322623.500000000000000,129925.250000000000000,4607237.250000000000000,6256727.000000000000000,5137394.750000000000000,5160857.000000000000000,47704919.250000000000000,16554978.750000000000000,33.683734216322598,33.181850833314428,0.202187140104082,7.169692753013707,9.736596531790324,7.994713514795807,8.031225010659059,74.237464942754812,25.762535057245188
28,45225600.250000000000000,11651128.000000000000000,17460447.750000000000000,212285.000000000000000,1057330.500000000000000,4369874.250000000000000,3092629.250000000000000,7381905.500000000000000,30381191.250000000000000,14844409.000000000000000,25.762240712327529,38.607442805582224,0.469391227151264,2.337902635134179,9.662390826974153,6.838227094619932,16.322404698210722,67.176977380195197,32.823022619804810
29,12111126.500000000000000,1920226.500000000000000,2311410.000000000000000,0.000000000000000,1104.500000000000000,2649185.000000000000000,1687257.500000000000000,3541943.000000000000000,4232741.000000000000000,7878385.500000000000000,15.855061046550873,19.085012447025466,0.000000000000000,0.009119713182750,21.873976793157929,13.931466243045188,29.245363757037797,34.949193206759091,65.050806793240909
30,132976934.750000000000000,39722679.250000000000000,62294011.250000000000000,384996.000000000000000,2722876.750000000000000,6633733.500000000000000,8863092.250000000000000,12355545.750000000000000,105124563.250000000000000,27852371.500000000000000,29.871856592784034,46.845726566877417,0.289520886252794,2.047630858027429,4.988634692528886,6.665135022598346,9.291495380931091,79.054734903941679,20.945265096058321
31,67977079.250000000000000,23584359.750000000000000,24698140.250000000000000,406180.750000000000000,783516.250000000000000,5024150.250000000000000,6588846.000000000000000,6891886.000000000000000,49472197.000000000000000,18504882.250000000000000,34.694576481086450,36.333041258167917,0.597526040367496,1.152618292290044,7.390947515592177,9.692746544417028,10.138543868078887,72.777762071911908,27.222237928088088
35,16978444.750000000000000,5002665.500000000000000,5409308.000000000000000,245711.750000000000000,12808.500000000000000,1731793.500000000000000,1374864.000000000000000,3201293.500000000000000,10670493.750000000000000,6307951.000000000000000,29.464804189441441,31.859855714994158,1.447198218788561,0.075439771949666,10.199953679502947,8.097702824046943,18.855045601276288,62.847297895173817,37.152702104826183
